split,model,fraction,seed,checkpoint_selection,metric,selected_candidate_id,baseline,selected,improvement,improvement_pct,accuracy_delta_pp
validation,g05_sign_only,1.0,42,total,relative_configuration_accuracy,dropout020,0.92,0.911,-0.009000000000000008,-0.9782608695652182,-0.9000000000000008
validation,g05_sign_only,1.0,42,total,relative_sign_accuracy,dropout020,0.9624000015258789,0.957999984741211,-0.004400016784667948,-0.4571921007576632,-0.44000167846679483
validation,g05_full_reconstruction,1.0,42,structure,loss_global_sign,dropout020,0.3471103839874268,0.36097677326202393,-0.013866389274597157,-3.994806814854445,
validation,g05_full_reconstruction,1.0,42,structure,loss_magnitude,dropout020,0.07461936646699906,0.0736293676495552,0.0009899988174438545,1.3267317377743866,
validation,g05_full_reconstruction,1.0,42,structure,loss_position,dropout020,0.47133282899856566,0.44064544582366943,0.03068738317489622,6.510767187615019,
validation,g05_full_reconstruction,1.0,42,structure,loss_relative_sign,dropout020,0.06275699877738952,0.06577696168422699,-0.0030199629068374673,-4.812153171234056,
validation,g05_full_reconstruction,1.0,42,structure,loss_structure,dropout020,0.6087091903686523,0.5800517778396607,0.028657412528991677,4.7078987770228835,
validation,g05_full_reconstruction,1.0,42,structure,loss_total,dropout020,0.9558195743560791,0.9410285511016846,0.01479102325439452,1.5474702183577904,
validation,g05_full_reconstruction,1.0,42,structure,absolute_sign_accuracy,dropout020,0.8737999801635742,0.8652000045776367,-0.008599975585937503,-0.9842041406693095,-0.8599975585937503
validation,g05_full_reconstruction,1.0,42,structure,absolute_sign_set_accuracy,dropout020,0.831,0.828,-0.0030000000000000027,-0.3610108303249101,-0.30000000000000027
validation,g05_full_reconstruction,1.0,42,structure,charge_mae,dropout020,0.29490615463256836,0.30125238418579103,-0.006346229553222671,-2.1519488330549126,
validation,g05_full_reconstruction,1.0,42,structure,charge_magnitude_mae,dropout020,0.15526732063293458,0.15393854141235352,0.0013287792205810556,0.8558009600245534,
validation,g05_full_reconstruction,1.0,42,structure,global_invariant_charge_mae,dropout020,0.19057730293273925,0.1840909481048584,0.006486354827880847,3.4035295536583843,
validation,g05_full_reconstruction,1.0,42,structure,global_sign_accuracy,dropout020,0.857,0.852,-0.0050000000000000044,-0.5834305717619609,-0.5000000000000004
validation,g05_full_reconstruction,1.0,42,structure,global_sign_bce,dropout020,0.3471103820800781,0.3609767723083496,-0.013866390228271519,-3.9948071115523573,
validation,g05_full_reconstruction,1.0,42,structure,mean_position_3d_error,dropout020,0.762980224609375,0.7351368560791015,0.02784336853027347,3.649290981889932,
validation,g05_full_reconstruction,1.0,42,structure,mean_position_mae,dropout020,0.37435241317749024,0.36099311447143556,0.013359298706054679,3.568642336952343,
validation,g05_full_reconstruction,1.0,42,structure,observations_per_sample,dropout020,32.0,32.0,0.0,0.0,
validation,g05_full_reconstruction,1.0,42,structure,observed_sample_fraction,dropout020,1.0,1.0,0.0,0.0,
validation,g05_full_reconstruction,1.0,42,structure,pairwise_relative_sign_accuracy,dropout020,0.9499999923706055,0.9570000152587891,0.007000022888183577,0.7368445204631949,0.7000022888183577
validation,g05_full_reconstruction,1.0,42,structure,position_mae_x,dropout020,0.4502324676513672,0.44702748489379884,0.0032049827575683643,0.7118506522390804,
validation,g05_full_reconstruction,1.0,42,structure,position_mae_y,dropout020,0.44561796951293947,0.4184217414855957,0.027196228027343783,6.10303665650406,
validation,g05_full_reconstruction,1.0,42,structure,position_mae_z,dropout020,0.2272067642211914,0.21753009033203125,0.009676673889160159,4.258972624485633,
validation,g05_full_reconstruction,1.0,42,structure,relative_configuration_accuracy,dropout020,0.912,0.924,0.01200000000000001,1.3157894736842117,1.200000000000001
validation,g05_full_reconstruction,1.0,42,structure,relative_sign_accuracy,dropout020,0.9591999893188476,0.9644000015258789,0.005200012207031257,0.5421197106897299,0.5200012207031257
validation,g05_full_reconstruction,1.0,42,total,loss_global_sign,dropout020,0.3423144094944,0.34039738297462463,0.0019170265197753777,0.5600192298673126,
validation,g05_full_reconstruction,1.0,42,total,loss_magnitude,dropout020,0.07456688964366913,0.07325372123718261,0.0013131684064865146,1.7610609920324134,
validation,g05_full_reconstruction,1.0,42,total,loss_position,dropout020,0.47153129410743716,0.44399619460105894,0.027535099506378224,5.839506274657653,
validation,g05_full_reconstruction,1.0,42,total,loss_relative_sign,dropout020,0.06672478348016739,0.06326324117183685,0.0034615423083305397,5.187790994270388,
validation,g05_full_reconstruction,1.0,42,total,loss_structure,dropout020,0.612822968006134,0.5805131635665893,0.032309804439544676,5.272290061951672,
validation,g05_full_reconstruction,1.0,42,total,loss_total,dropout020,0.9551373775005341,0.920910546541214,0.03422683095932011,3.583445875491452,
validation,g05_full_reconstruction,1.0,42,total,absolute_sign_accuracy,dropout020,0.8763999938964844,0.8737999954223633,-0.002599998474121068,-0.29666801600048454,-0.2599998474121068
validation,g05_full_reconstruction,1.0,42,total,absolute_sign_set_accuracy,dropout020,0.837,0.837,0.0,0.0,0.0
validation,g05_full_reconstruction,1.0,42,total,charge_mae,dropout020,0.2904986991882324,0.2917879409790039,-0.0012892417907715004,-0.44380294795610065,
validation,g05_full_reconstruction,1.0,42,total,charge_magnitude_mae,dropout020,0.15542917060852052,0.15360665130615234,0.0018225193023681807,1.1725722367512084,
validation,g05_full_reconstruction,1.0,42,total,global_invariant_charge_mae,dropout020,0.18885976409912109,0.18524544143676758,0.0036143226623535085,1.9137600216722546,
validation,g05_full_reconstruction,1.0,42,total,global_sign_accuracy,dropout020,0.856,0.859,0.0030000000000000027,0.3504672897196265,0.30000000000000027
validation,g05_full_reconstruction,1.0,42,total,global_sign_bce,dropout020,0.34231440734863283,0.34039738273620607,0.0019170246124267654,0.560018676185708,
validation,g05_full_reconstruction,1.0,42,total,mean_position_3d_error,dropout020,0.767878890991211,0.7354437713623047,0.03243511962890633,4.223988966155546,
validation,g05_full_reconstruction,1.0,42,total,mean_position_mae,dropout020,0.37621129608154297,0.3611834945678711,0.01502780151367189,3.9945109756658255,
validation,g05_full_reconstruction,1.0,42,total,observations_per_sample,dropout020,32.0,32.0,0.0,0.0,
validation,g05_full_reconstruction,1.0,42,total,observed_sample_fraction,dropout020,1.0,1.0,0.0,0.0,
validation,g05_full_reconstruction,1.0,42,total,pairwise_relative_sign_accuracy,dropout020,0.9526000061035156,0.9542000045776368,0.0015999984741211781,0.1679612076285576,0.1599998474121178
validation,g05_full_reconstruction,1.0,42,total,position_mae_x,dropout020,0.45160297775268554,0.4487043418884277,0.0028986358642578147,0.6418549050943625,
validation,g05_full_reconstruction,1.0,42,total,position_mae_y,dropout020,0.4528298568725586,0.4156841926574707,0.037145664215087915,8.20300685816791,
validation,g05_full_reconstruction,1.0,42,total,position_mae_z,dropout020,0.2242010498046875,0.2191619129180908,0.005039136886596685,2.2475973645023175,
validation,g05_full_reconstruction,1.0,42,total,relative_configuration_accuracy,dropout020,0.916,0.919,0.0030000000000000027,0.32751091703056795,0.30000000000000027
validation,g05_full_reconstruction,1.0,42,total,relative_sign_accuracy,dropout020,0.9604000091552735,0.9620000152587891,0.0016000061035156277,0.16659788507529527,0.16000061035156277
validation,g05_sign_only,1.0,43,structure,loss_global_sign,dropout020,0.3425494289398193,0.3399396142959595,0.0026098146438598424,0.7618797240261483,
validation,g05_sign_only,1.0,43,structure,loss_magnitude,dropout020,0.07422971874475479,0.07416595262289047,6.376612186431707e-05,0.08590376326708486,
validation,g05_sign_only,1.0,43,structure,loss_position,dropout020,0.4628551061153412,0.4467496316432953,0.01610547447204591,3.479593129525184,
validation,g05_sign_only,1.0,43,structure,loss_relative_sign,dropout020,0.06142354932427406,0.06532292664051056,-0.0038993773162365047,-6.348342547986729,
validation,g05_sign_only,1.0,43,structure,loss_structure,dropout020,0.598508382320404,0.5862385225296021,0.012269859790801974,2.05007317411863,
validation,g05_sign_only,1.0,43,structure,loss_total,dropout020,0.9410578112602234,0.9261781368255615,0.014879674434661871,1.5811647548768193,
validation,g05_sign_only,1.0,43,structure,absolute_sign_accuracy,dropout020,0.8783999938964844,0.8748000030517578,-0.0035999908447266193,-0.40983502615448136,-0.35999908447266193
validation,g05_sign_only,1.0,43,structure,absolute_sign_set_accuracy,dropout020,0.839,0.837,-0.0020000000000000018,-0.23837902264600738,-0.20000000000000018
