split,candidate_id,fraction,seed,checkpoint_selection,metric,sign_only,full,full_improvement
validation,baseline,1.0,42,total,global_sign_accuracy,0.859,0.856,-0.0030000000000000027
validation,baseline,1.0,42,total,global_sign_bce,0.3491054496765137,0.34231440734863283,0.0067910423278808585
validation,baseline,1.0,42,total,mean_position_3d_error,0.7502518615722656,0.767878890991211,-0.01762702941894534
validation,baseline,1.0,42,total,mean_position_mae,0.3692874755859375,0.37621129608154297,-0.0069238204956054705
validation,baseline,1.0,42,total,observations_per_sample,32.0,32.0,0.0
validation,baseline,1.0,42,total,observed_sample_fraction,1.0,1.0,0.0
validation,baseline,1.0,42,total,pairwise_relative_sign_accuracy,0.9548000030517578,0.9526000061035156,-0.0021999969482422443
validation,baseline,1.0,42,total,position_mae_x,0.44634907150268555,0.45160297775268554,-0.0052539062499999956
validation,baseline,1.0,42,total,position_mae_y,0.43911053466796873,0.4528298568725586,-0.013719322204589879
validation,baseline,1.0,42,total,position_mae_z,0.22240278244018555,0.2242010498046875,-0.0017982673645019487
validation,baseline,1.0,42,total,relative_configuration_accuracy,0.92,0.916,-0.0040000000000000036
validation,baseline,1.0,42,total,relative_sign_accuracy,0.9624000015258789,0.9604000091552735,-0.001999992370605441
validation,baseline,1.0,43,structure,loss_global_sign,0.3425494289398193,0.3505796298980713,-0.008030200958251965
validation,baseline,1.0,43,structure,loss_magnitude,0.07422971874475479,0.07336565500497819,0.0008640637397765993
validation,baseline,1.0,43,structure,loss_position,0.4628551061153412,0.46678959703445433,-0.003934490919113132
validation,baseline,1.0,43,structure,loss_relative_sign,0.06142354932427406,0.056472340106964114,0.004951209217309946
validation,baseline,1.0,43,structure,loss_structure,0.598508382320404,0.5966275882720947,0.00188079404830932
validation,baseline,1.0,43,structure,loss_total,0.9410578112602234,0.9472072181701661,-0.006149406909942701
validation,baseline,1.0,43,structure,absolute_sign_accuracy,0.8783999938964844,0.8741999893188477,-0.004200004577636696
validation,baseline,1.0,43,structure,absolute_sign_set_accuracy,0.839,0.835,-0.0040000000000000036
validation,baseline,1.0,43,structure,charge_mae,0.28753943252563474,0.2910713596343994,-0.003531927108764654
validation,baseline,1.0,43,structure,charge_magnitude_mae,0.15502783203125,0.15418047523498535,0.0008473567962646589
validation,baseline,1.0,43,structure,global_invariant_charge_mae,0.1883136920928955,0.1867463550567627,0.0015673370361327932
validation,baseline,1.0,43,structure,global_sign_accuracy,0.856,0.851,-0.0050000000000000044
validation,baseline,1.0,43,structure,global_sign_bce,0.3425494289398193,0.3505796279907227,-0.008030199050903353
validation,baseline,1.0,43,structure,mean_position_3d_error,0.7552856674194336,0.7631776580810546,-0.007891990661621051
validation,baseline,1.0,43,structure,mean_position_mae,0.3709542198181152,0.3730879554748535,-0.0021337356567383003
validation,baseline,1.0,43,structure,observations_per_sample,32.0,32.0,0.0
validation,baseline,1.0,43,structure,observed_sample_fraction,1.0,1.0,0.0
validation,baseline,1.0,43,structure,pairwise_relative_sign_accuracy,0.9532000045776368,0.953599983215332,0.000399978637695253
validation,baseline,1.0,43,structure,position_mae_x,0.4358943824768066,0.43873909378051756,-0.002844711303710945
validation,baseline,1.0,43,structure,position_mae_y,0.45611518478393553,0.46041915130615235,-0.004303966522216818
validation,baseline,1.0,43,structure,position_mae_z,0.2208530616760254,0.22010556411743165,0.0007474975585937405
