seed,protocol_fingerprint,model,fraction,sensor_count,selection,epoch,validation_loss,absolute_sign_accuracy,absolute_sign_set_accuracy,charge_mae,charge_magnitude_mae,global_invariant_charge_mae,global_sign_accuracy,global_sign_bce,mean_position_3d_error,mean_position_mae,observations_per_sample,observed_sample_fraction,pairwise_relative_sign_accuracy,position_mae_x,position_mae_y,position_mae_z,relative_configuration_accuracy,relative_sign_accuracy,source
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,0.25,8,structure,27,0.6065466957092285,0.8834000015258789,0.844,0.28646290016174314,0.1591237678527832,0.1953316078186035,0.865,0.3582423057556152,0.76283984375,0.3746533432006836,8.0,1.0,0.9500000228881836,0.45867706298828126,0.4339174041748047,0.2313655548095703,0.914,0.9623999938964843,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_025pct__seed_42__6b6220edd43e\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,0.25,8,total,39,0.9696615707874298,0.8840000076293946,0.836,0.2881133613586426,0.1580794086456299,0.19939108657836915,0.864,0.35319912719726565,0.7509981384277343,0.3678529396057129,8.0,1.0,0.9435999908447266,0.45818439483642576,0.4173245735168457,0.22804977416992187,0.901,0.9543999710083008,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_025pct__seed_42__6b6220edd43e\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,0.5,16,structure,27,0.6065466957092285,0.8898000106811523,0.85,0.2791120319366455,0.1591237678527832,0.1953316078186035,0.869,0.3447511940002441,0.76283984375,0.3746533432006836,16.0,1.0,0.9500000228881836,0.45867706298828126,0.4339174041748047,0.2313655548095703,0.914,0.9623999938964843,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_050pct__seed_42__3e78c74bbf35\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,0.5,16,total,39,0.9564438395500183,0.8834000015258789,0.838,0.2894179382324219,0.1580794086456299,0.19939108657836915,0.873,0.3366216621398926,0.7509981384277343,0.3678529396057129,16.0,1.0,0.9435999908447266,0.45818439483642576,0.4173245735168457,0.22804977416992187,0.901,0.9543999710083008,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_050pct__seed_42__3e78c74bbf35\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,0.75,24,structure,27,0.6065466957092285,0.888,0.848,0.2812375640869141,0.1591237678527832,0.1953316078186035,0.868,0.3430964088439941,0.76283984375,0.3746533432006836,24.0,1.0,0.9500000228881836,0.45867706298828126,0.4339174041748047,0.2313655548095703,0.914,0.9623999938964843,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_075pct__seed_42__4f060fadcb77\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,0.75,24,total,39,0.9517466669082641,0.8876000061035156,0.842,0.2842649040222168,0.1580794086456299,0.19939108657836915,0.878,0.33488169860839845,0.7509981384277343,0.3678529396057129,24.0,1.0,0.9435999908447266,0.45818439483642576,0.4173245735168457,0.22804977416992187,0.901,0.9543999710083008,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_075pct__seed_42__4f060fadcb77\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,1.0,32,structure,27,0.6065466957092285,0.891400001525879,0.85,0.277833194732666,0.1591237678527832,0.1953316078186035,0.873,0.335615909576416,0.76283984375,0.3746533432006836,32.0,1.0,0.9500000228881836,0.45867706298828126,0.4339174041748047,0.2313655548095703,0.914,0.9623999938964843,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_100pct__seed_42__adefc6a18cb3\result.json
42,8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,g05_sign_only,1.0,32,total,39,0.9511835587024688,0.8847999954223633,0.839,0.28712005043029787,0.1580794086456299,0.19939108657836915,0.876,0.33206972885131836,0.7509981384277343,0.3678529396057129,32.0,1.0,0.9435999908447266,0.45818439483642576,0.4173245735168457,0.22804977416992187,0.901,0.9543999710083008,Results\new_learning9_experiments\5point_routing_v1_seed42\runs\g05_sign_only__g05_100pct__seed_42__adefc6a18cb3\result.json
43,e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,g05_full_reconstruction,0.0,0,structure,31,0.5999058632850647,,,0.19724883460998535,0.15873043632507325,0.19724883460998535,,,0.7661625061035157,0.3748277015686035,0.0,0.0,0.9473999938964843,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.909,0.9596000137329102,Results\new_learning9_experiments\5point_routing_v1_seed43\runs\g05_full_reconstruction__g05_000pct__seed_43__5677a97adc2f\result.json
43,e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,g05_full_reconstruction,0.0,0,total,31,0.5999058632850647,,,0.19724883460998535,0.15873043632507325,0.19724883460998535,,,0.7661625061035157,0.3748277015686035,0.0,0.0,0.9473999938964843,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.909,0.9596000137329102,Results\new_learning9_experiments\5point_routing_v1_seed43\runs\g05_full_reconstruction__g05_000pct__seed_43__5677a97adc2f\result.json
